time,cahaya,soil,temperature,humidity,fuzzy_output,pump_status,pump_duration
2025-12-15T17:42:58Z,51,1,29.30000,76.00000,0.00000,0,0
2025-12-15T17:43:18Z,51,0,29.30000,76.00000,46.81744,1,7
2025-12-15T17:43:37Z,51,-2,29.30000,76.00000,0.00000,0,0
2025-12-15T17:43:57Z,51,-1,29.30000,76.00000,0.00000,0,0
2025-12-15T17:44:18Z,51,-1,29.30000,76.00000,46.81744,1,7
2025-12-15T17:44:38Z,51,-1,29.30000,76.00000,0.00000,0,0
2025-12-15T17:44:58Z,51,0,29.30000,76.00000,0.00000,0,0
2025-12-15T17:45:17Z,51,-1,29.30000,76.00000,46.81744,1,7
2025-12-15T17:45:38Z,51,0,29.30000,76.00000,0.00000,0,0
2025-12-15T17:45:58Z,51,-2,29.30000,75.00000,0.00000,0,0
2025-12-15T17:46:17Z,51,-1,29.30000,75.50000,46.81744,1,7
2025-12-15T17:46:38Z,51,-1,29.30000,75.00000,0.00000,0,0
2025-12-15T17:46:57Z,51,-1,29.30000,75.00000,0.00000,0,0
2025-12-15T17:47:18Z,51,-1,29.31667,75.00000,46.81215,1,7
2025-12-15T17:47:37Z,51,-1,29.80000,75.00000,0.00000,0,0
2025-12-15T17:47:57Z,51,-1,29.80000,75.00000,0.00000,0,0
2025-12-15T17:48:18Z,51,-1,29.75000,75.00000,46.80580,1,7
2025-12-15T17:48:38Z,51,-1,29.80000,75.00000,0.00000,0,0
2025-12-15T17:48:58Z,51,0,29.80000,74.00000,0.00000,0,0
2025-12-15T17:49:18Z,51,-1,29.80000,74.50000,46.80580,1,7
2025-12-15T17:49:38Z,51,-1,29.80000,74.00000,0.00000,0,0
2025-12-15T17:49:58Z,51,-1,29.80000,74.00000,0.00000,0,0
2025-12-15T17:50:18Z,51,0,29.80000,74.16666,46.68181,1,7
2025-12-15T17:50:37Z,51,-1,29.80000,74.00000,0.00000,0,0
2025-12-15T17:50:58Z,51,-1,29.80000,74.00000,0.00000,0,0
2025-12-15T17:51:18Z,51,-1,29.80000,74.50000,46.80580,1,7
2025-12-15T17:51:37Z,51,-1,29.80000,75.00000,0.00000,0,0
2025-12-15T17:51:57Z,51,0,29.80000,75.00000,0.00000,0,0
2025-12-15T17:52:18Z,51,-1,29.80000,75.00000,46.80580,1,7
2025-12-15T17:52:37Z,51,-3,29.80000,75.00000,0.00000,0,0
2025-12-15T17:52:58Z,51,0,29.30000,75.00000,0.00000,0,0
2025-12-15T17:53:18Z,51,-1,29.48334,75.00000,46.80580,1,7
2025-12-15T17:53:38Z,51,-2,29.30000,76.00000,0.00000,0,0
2025-12-15T17:53:57Z,51,-1,29.50000,76.00000,0.00000,0,0
